"","cids","smiles","MW","nHA","nHD","TPSA","nRot","nRing","MaxRing","nHet","fChar","nRig","nStereo","gasa","QED","Fsp3","MCE18","Lipinski","Pfizer","GSK","GoldenTriangle","logS","logD","logP","pka_acidic","pka_basic","caco2","PAMPA","pgp_inh","pgp_sub","hia","f20","f30","f50","OATP1B1","OATP1B3","BCRP","BSEP","BBB","MRP1","PPB","logVDss","Fu","CYP1A2sub","CYP2C19inh","CYP2C19sub","CYP2C9inh","CYP2C9sub","CYP2D6inh","CYP2D6sub","CYP3A4inh","CYP3A4sub","CYP2B6inh","CYP2B6sub","CYP2C8inh","LMhuman","clplasma","t05","hERG","DILI","Ames","ROA","FDAMDD","SkinSen","Carcinogenicity","EC","EI","Respiratory","HHT","NeurotoxicityDI","Ototoxicity","Hematotoxicity","NephrotoxicityDI","Genotoxicity","RPMI8226","A549","HEK293","NRAhR","NRAR","NRARLBD","NRAromatase","NRER","NRERLBD","NRPPARgamma","SRARE","SRATAD5","SRHSE","SRMMP","SRp53","Aggregators","Fluc"
"421","cid66751253","COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C",317.15,4,2,53.17,2,4,9,4,0,22,0,1,0.728,0.15,42,0,1,0,0,-4.269999982,3.151993094,3.29164074,12.75678775,6.949154517,-4.89411263,0.075295307,0.871009529,0.181238636,2.84e-05,0.014536619,0.022511005,0.47650069,0.989619315,0.986947179,0.117795214,0.999963284,0.624907196,0.937709868,98.14774949,0.164152092,1.756162393,0.998825133,0.952135265,0.98019743,0.037504196,0.800496399,0.002937202,0.987804294,0.865830541,0.949900806,0.461681038,0.203730375,0.998456717,0.193292782,8.437500147,0.577277675,0.585764349,0.997345746,0.841325045,0.845704734,0.966169357,0.92757529,0.791565001,6.2e-09,0.400056779,0.996152699,0.973677874,0.893745065,0.894401073,0.974986672,0.985846102,0.999818623,0.432367265,0.568284333,0.905432165,0.997833908,0.026424196,0.000786026,0.390144557,0.402727395,0.017513232,0.000802432,0.642534494,0.30766198,0.231203735,0.943033993,0.241838992,0.993,0.997
"422","cid57353643","COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C",317.15,4,2,53.17,2,4,9,4,0,22,0,1,0.728,0.15,42,0,1,0,0,-4.269999982,3.151993094,3.29164074,12.75678775,6.949154517,-4.89411263,0.075295307,0.871009529,0.181238636,2.84e-05,0.014536619,0.022511005,0.47650069,0.989619315,0.986947179,0.117795214,0.999963284,0.624907196,0.937709868,98.14774949,0.164152092,1.756162393,0.998825133,0.952135265,0.98019743,0.037504196,0.800496399,0.002937202,0.987804294,0.865830541,0.949900806,0.461681038,0.203730375,0.998456717,0.193292782,8.437500147,0.577277675,0.585764349,0.997345746,0.841325045,0.845704734,0.966169357,0.92757529,0.791565001,6.2e-09,0.400056779,0.996152699,0.973677874,0.893745065,0.894401073,0.974986672,0.985846102,0.999818623,0.432367265,0.568284333,0.905432165,0.997833908,0.026424196,0.000786026,0.390144557,0.402727395,0.017513232,0.000802432,0.642534494,0.30766198,0.231203735,0.943033993,0.241838992,0.993,0.997
"423","cid46930997","COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C",317.15,4,2,53.17,2,4,9,4,0,22,0,1,0.728,0.15,42,0,1,0,0,-4.269999982,3.151993094,3.29164074,12.75678775,6.949154517,-4.89411263,0.075295307,0.871009529,0.181238636,2.84e-05,0.014536619,0.022511005,0.47650069,0.989619315,0.986947179,0.117795214,0.999963284,0.624907196,0.937709868,98.14774949,0.164152092,1.756162393,0.998825133,0.952135265,0.98019743,0.037504196,0.800496399,0.002937202,0.987804294,0.865830541,0.949900806,0.461681038,0.203730375,0.998456717,0.193292782,8.437500147,0.577277675,0.585764349,0.997345746,0.841325045,0.845704734,0.966169357,0.92757529,0.791565001,6.2e-09,0.400056779,0.996152699,0.973677874,0.893745065,0.894401073,0.974986672,0.985846102,0.999818623,0.432367265,0.568284333,0.905432165,0.997833908,0.026424196,0.000786026,0.390144557,0.402727395,0.017513232,0.000802432,0.642534494,0.30766198,0.231203735,0.943033993,0.241838992,0.993,0.997
"424","cid40637217","COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C",317.15,4,2,53.17,2,4,9,4,0,22,0,1,0.728,0.15,42,0,1,0,0,-4.269999982,3.151993094,3.29164074,12.75678775,6.949154517,-4.89411263,0.075295307,0.871009529,0.181238636,2.84e-05,0.014536619,0.022511005,0.47650069,0.989619315,0.986947179,0.117795214,0.999963284,0.624907196,0.937709868,98.14774949,0.164152092,1.756162393,0.998825133,0.952135265,0.98019743,0.037504196,0.800496399,0.002937202,0.987804294,0.865830541,0.949900806,0.461681038,0.203730375,0.998456717,0.193292782,8.437500147,0.577277675,0.585764349,0.997345746,0.841325045,0.845704734,0.966169357,0.92757529,0.791565001,6.2e-09,0.400056779,0.996152699,0.973677874,0.893745065,0.894401073,0.974986672,0.985846102,0.999818623,0.432367265,0.568284333,0.905432165,0.997833908,0.026424196,0.000786026,0.390144557,0.402727395,0.017513232,0.000802432,0.642534494,0.30766198,0.231203735,0.943033993,0.241838992,0.993,0.997
"425","cid11244031","COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C",317.15,4,2,53.17,2,4,9,4,0,22,0,1,0.728,0.15,42,0,1,0,0,-4.269999982,3.151993094,3.29164074,12.75678775,6.949154517,-4.89411263,0.075295307,0.871009529,0.181238636,2.84e-05,0.014536619,0.022511005,0.47650069,0.989619315,0.986947179,0.117795214,0.999963284,0.624907196,0.937709868,98.14774949,0.164152092,1.756162393,0.998825133,0.952135265,0.98019743,0.037504196,0.800496399,0.002937202,0.987804294,0.865830541,0.949900806,0.461681038,0.203730375,0.998456717,0.193292782,8.437500147,0.577277675,0.585764349,0.997345746,0.841325045,0.845704734,0.966169357,0.92757529,0.791565001,6.2e-09,0.400056779,0.996152699,0.973677874,0.893745065,0.894401073,0.974986672,0.985846102,0.999818623,0.432367265,0.568284333,0.905432165,0.997833908,0.026424196,0.000786026,0.390144557,0.402727395,0.017513232,0.000802432,0.642534494,0.30766198,0.231203735,0.943033993,0.241838992,0.993,0.997
"426","cid23725625","O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1",434.18,7,1,86.37,6,5,10,8,0,29,0,0,0.683,0.333,65.812,0,0,1,0,-2.798178679,1.529177297,1.134025017,6.926468497,4.455620987,-5.422412335,0.352233171,0.884608686,0.883832574,0.000973582,0.222976565,0.305288494,0.588881344,0.998607814,0.985697746,0.000359625,0.99989903,0.295373589,0.98452121,96.42388997,-0.277057311,3.263799643,0.054987039,0.999463022,0.995503724,0.921059668,0.849984288,5.59e-09,0.065684929,0.266300917,0.999992371,0.000327327,3.4e-08,0.931236804,0.99668014,4.567303695,0.854840174,0.730050504,0.883025944,0.468362838,0.700507522,0.802823663,0.028676799,0.317968369,5.87e-09,0.002402089,0.855632484,0.904016912,0.914258242,0.770208299,0.373247713,0.879022837,0.999915838,0.101173192,0.107585758,0.526789606,0.258634835,0.002584587,0.000328759,0.000265862,0.534314573,0.000795007,3.05e-05,0.925334692,0.040261555,0.017547635,0.000885767,0.000249088,0.027,0.01
"427","cid285033","COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4",545.26,10,2,123.99,11,5,20,10,0,26,4,1,0.448,0.655,148.75,0,0,1,1,-3.326590034,2.120691954,1.736394581,9.082215856,8.088777897,-4.975451995,0.184874877,0.016929653,0.133197546,7.68e-05,0.055125296,0.002930403,0.946256377,0.629122913,0.903398097,0.036536619,0.996791065,0.987419307,0.982471049,50.72306079,0.242200423,46.79195183,0.999832511,0.135574222,0.636868834,1.65e-05,0.450009048,0.0009478,0.271774054,0.999273956,0.998427868,0.038842477,0.001315109,0.006254534,0.988690853,6.417387178,0.842649927,0.243613079,0.034405328,0.332261384,0.196549177,0.899105549,0.90791434,0.761761725,2.91e-05,0.00510518,0.568098664,0.731884062,0.481970608,0.865438402,0.242423072,0.85414207,0.736305416,0.123739697,0.004887237,0.118764251,0.122093804,0.004578974,0.002899823,0.878563344,0.039039634,0.001545956,1.13e-05,0.053480841,0.092615545,0.242776975,0.395001084,0.995488465,0.007,0
"428","cid439501","CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O",584.28,12,8,206.6,4,6,17,12,0,32,15,1,0.14,0.897,121.964,1,0,1,1,-0.878676472,-0.801322271,-1.772815555,6.319452446,5.127986587,-6.948311683,0.999999762,1.02e-08,0.999835968,0.999815726,0.993609732,0.998244202,0.99976235,0.000339232,0.088243127,0.000164383,0.000765456,0.000110317,0.937490821,25.78975508,-0.634159872,82.77807941,5.55e-07,1.97e-12,0.003244329,1.11e-10,0.820044041,4.5e-10,1.59e-08,5.23e-07,0.216443971,4.2e-11,1.13e-09,0.001807839,1.32e-05,2.590169486,5.040983468,0.128046766,0.153590739,0.847097874,0.898512423,0.98633647,0.166791901,0.527323246,1.47e-13,2.75e-06,0.326432168,0.691565156,0.176592603,0.994427085,0.078756973,0.144827306,0.949409068,0.430923164,0.142740935,0.88991493,9.51e-07,0.12090569,9.33e-05,0.000489497,0.473051757,0.00157826,9.59e-08,0.005853428,0.000243866,6.31e-05,0.003259643,0.001613309,0.008,0
"429","cid45100481","CCCCCCCCCCC1C(=O)OC1CCc1ccc(OC)c(OC)c1",376.26,4,0,44.76,14,2,6,4,0,11,2,0,0.308,0.696,37.231,0,1,1,0,-5.302155082,4.117336041,6.058389227,8.483084198,3.656383986,-4.996348667,0.000561962,0.640475631,0.047133002,0.517706394,0.437452793,0.766449451,0.685450047,0.959188163,0.999976754,0.593988121,0.99859482,0.002908824,0.918076694,99.25562778,0.379025673,0.471105439,5.61e-05,0.413099945,0.959870756,0.005300673,0.99270165,0.00041212,0.946895063,0.999991417,0.994774699,0.359590441,0.968814373,0.999994397,0.702927649,4.347876452,0.691847256,0.54170692,0.710155129,0.134589404,0.089362942,0.364182442,0.971123099,0.338914007,0.348970294,0.915508449,0.445362329,0.69450289,0.235382169,0.546263337,0.31637305,0.802701116,0.000259366,0.053796452,0.346698761,0.230370596,0.012681274,0.030324105,0.000170747,0.005408475,0.223076969,0.000968364,0.001018518,0.02966263,0.000522754,0.028630368,0.151586309,0.003353151,0.556,0.007
"430","cid135928012","O=C(C=Cc1ccc(C(=O)NN=Cc2ccc(O)c(O)c2O)cc1)NO",357.1,9,6,151.48,7,2,6,9,0,16,0,0,0.155,0,14,0,0,0,0,-3.852847358,0.630934525,0.347491977,7.96969529,3.641295557,-5.685099988,0.998003304,1.35e-05,0.877636909,0.001580358,0.982726797,0.913414136,0.994892461,0.06338913,0.996092379,9.49e-08,5.22e-06,3.13e-06,0.009850163,79.88304157,-0.054556732,22.71790726,2.22e-07,1.67e-11,3.51e-11,2.46e-05,3.37e-06,6.26e-13,5.97e-09,1.73e-08,7.69e-08,4.1e-10,2.81e-23,0.999879599,4.37e-06,5.103918251,1.9895423,0.109319814,0.988864064,0.99704808,0.184192136,0.22458382,0.999948263,0.83560288,9.97e-08,0.13031961,0.083716117,0.534556389,0.00157529,0.452259958,0.208440915,0.131709576,0.999990225,0.024672054,0.162614629,0.832542121,0.968558192,0.007728068,0.019235013,0.000959082,0.21424605,0.001031289,0.000715146,0.661705613,0.430406719,0.022326326,0.288189262,0.859309077,1,1
