"","ChEMBL ID","AlogP","Polar Surface Area","HBA","HBD","#RO5 Violations","#Rotatable Bonds","Passes Ro3","QED Weighted","CX Acidic pKa","CX Basic pKa","CX LogP","CX LogD","Aromatic Rings","Inorganic Flag","Heavy Atoms","HBA (Lipinski)","HBD (Lipinski)","#RO5 Violations (Lipinski)","Smiles"
"8600","CHEMBL509611","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CCCCCCCCCCCC(=O)O[C@H]1[C@H](O[C@H]2[C@H](C)O[C@H]3O[C@@H]4[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]4O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]2[C@H]3O)O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)[C@@H](C)CC)[C@@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O"
"8601","CHEMBL504970","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CCCCC[C@H]1CCCCCCCCCC(=O)O[C@@H]2[C@@H](O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](C)[C@H](OC(=O)[C@@H](C)CC)[C@@H](O)[C@H]4O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3OC(=O)[C@@H](C)CC)[C@H](C)O[C@@H](O[C@@H]3[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]3O1)[C@@H]2O"
"8602","CHEMBL459866","1.58","110.02","5","5","0","7","N","0.42","12.16","None","1.50","1.50","1",-1,"31","6","5","0","C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]2(O)[C@@H](/C=C/C[C@H](C)[C@@H](O)[C@@H](C)O)[C@@H]1O"
"8603","CHEMBL3183409","3.53","89.33","5","1","0","3","N","0.54","13.05","0.19","3.46","3.46","2",0,"33","7","1","0","CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F"
"8604","CHEMBL1170266","2.96","94.45","6","2","0","1","N","0.76","2.62","None","3.97","0.46","1",-1,"28","7","2","0","C[C@H]1CO[C@]2(C)Oc3c(c(O)c(C(=O)O)c4c3C[C@@H]3[C@@H](C)CO[C@]3(C)O4)C[C@H]12"
"8605","CHEMBL472162","1.27","126.84","8","2","0","0","N","0.60","10.00","None","0.51","0.51","1",-1,"32","8","2","0","C[C@@]12CCC[C@]3(C)c4cc5c(cc4C(=O)[C@](O)(OC1)[C@H]23)C(=O)C1=C(NCCS1(=O)=O)C5=O"
"8606","CHEMBL2087139","0.82","158.68","8","7","1","5","N","0.29","12.49","None","-0.05","-0.05","0",-1,"35","8","7","1","CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@]4(O)C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3[C@H](O)C[C@]12C"
"8607","CHEMBL1915215","1.32","104.06","6","3","0","1","N","0.65","4.86","None","1.26","-1.27","1",-1,"18","6","3","0","COc1cc2c(c(O)c1O)C(=O)C(O)=C(C)C2=O"
"8608","CHEMBL529216","3.80","60.44","4","0","0","1","N","0.69","13.22","None","4.38","4.38","0",-1,"24","4","0","0","C/C1=C\CC[C@@H](C)CC(=O)CC2=C[C@@H](OC2=O)[C@@H](C(C)C)CC1=O"
"8609","CHEMBL2152443","-1.22","125.68","8","4","0","3","N","0.47","12.21","None","-1.07","-1.07","0",-1,"24","8","4","0","C[C@H]1C(=O)OC[C@H]2[C@@H]1CC[C@@]2(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O"
"8610","CHEMBL414636","1.39","77.34","4","2","0","4","N","0.80","None","8.83","0.85","-0.58","2",0,"18","5","3","0","COC(=O)C(CN)c1c[nH]c2ccc(OC)cc12"
"8611","CHEMBL1200863","1.93","66.56","3","2","0","8","N","0.72","1.29","9.51","0.25","0.25","1",0,"19","4","3","0","Cl.N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O"
"8612","CHEMBL539141","2.70","63.60","3","1","0","2","N","0.78","4.48","None","2.15","-0.67","0",-1,"19","4","1","0","CC(C)=C1CC[C@H]2[C@H](C)C(=O)O[C@@H]2/C1=C\CC(=O)O"
"8613","CHEMBL312642","0.50","156.81","11","3","2","1","N","0.23","13.10","None","0.29","0.29","0",-1,"40","11","3","2","CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(C(C)O)OCC(O)C5(C)OC5C(=O)OC[C@@]2(C[C@H]1O)[C@]4(C)C31CO1"
"8614","CHEMBL50444","-0.31","94.83","3","3","0","4","N","0.53","3.68","None","-0.75","-6.96","0",0,"11","5","3","0","CC(O)(CC(=O)O)CC(=O)O"
"8615","CHEMBL1077014","0.42","251.36","16","8","3","10","N","0.08","8.54","None","2.02","1.99","3",-1,"51","16","8","3","O=C(/C=C/c1ccccc1)OC[C@@]1(O)CO[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)c(O)c3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H]1O"
"8616","CHEMBL465367","6.16","55.76","3","1","1","5","N","0.45","4.15","None","6.12","3.05","0",-1,"28","4","1","1","C=C1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC[C@]1(C)CC[C@H]([C@@H](C)C(=O)O)OO1"
"8617","CHEMBL453247","0.88","52.32","2","1","0","2","Y","0.58","None","None","1.04","1.04","0",-1,"10","3","2","0","C#CC(C)(CC)OC(N)=O"
"8618","CHEMBL1180003","5.39","0.00","0","0","1","13","N","0.31","None","None","1.80","1.80","0",0,"18","1","0","1","CCCCCCCCCCCCCC[N+](C)(C)C"
"8619","CHEMBL476476","0.84","110.13","8","2","0","4","N","0.71","12.35","None","1.23","1.23","0",-1,"24","7","2","0","COC(=O)C(O)CSC1CC(=O)OC(C)CCCCCC(O)C1=O"
"8620","CHEMBL1794065","1.58","137.14","10","3","0","5","N","0.52","13.27","10.35","1.12","-1.65","3",-1,"31","10","4","0","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCNCC3)c21.O=C(O)C(F)(F)F"
"8621","CHEMBL599117","1.38","75.65","5","2","0","0","N","0.70","None","7.17","1.55","1.35","1",-1,"19","6","3","0","Cl.NC1=N[C@@]23CCCN2C(=O)c2cc(Br)c(Br)n2[C@H]3N1"
"8622","CHEMBL1288986","-1.29","277.07","14","8","3","5","N","0.15","9.46","None","-0.93","-0.93","3",-1,"65","20","8","3","C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H]2Cc3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(c3)Oc3ccc(cc3)C[C@@H](C(=O)N2C)N(C)C(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C1=O"
"8623","CHEMBL1909387","6.37","106.35","8","2","2","11","N","0.17","None","7.26","4.77","4.53","5",-1,"42","8","2","2","CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1.Cl"
"8624","CHEMBL153718","-0.39","69.39","3","1","0","2","N","0.57","11.65","None","-0.27","-0.27","0",-1,"8","4","2","0","CC(C)OS(N)(=O)=O"
"8625","CHEMBL2442750","2.42","89.26","5","1","0","5","N","0.76","4.22","3.40","1.50","-1.24","3",0,"25","6","1","0","Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1"
"8626","CHEMBL253322","3.84","70.67","3","2","0","2","N","0.86","4.82","None","3.41","0.88","1",-1,"24","4","2","0","C[C@H]1c2ccoc2C[C@H]2[C@H]1CC[C@H]1[C@@](CO)(C(=O)O)CCC[C@]21C"
