"","ChEMBL ID","AlogP","Polar Surface Area","HBA","HBD","#RO5 Violations","#Rotatable Bonds","Passes Ro3","QED Weighted","CX Acidic pKa","CX Basic pKa","CX LogP","CX LogD","Aromatic Rings","Inorganic Flag","Heavy Atoms","HBA (Lipinski)","HBD (Lipinski)","#RO5 Violations (Lipinski)","Smiles"
"1","CHEMBL519276","4.32","62.32","3","2","0","3","N","0.56","8.85","None","4.52","4.50","3",-1,"23","4","2","0","COC(=O)c1cc(O)c2[nH]c3ccccc3c2c1CC=C(C)C"
"2","CHEMBL480857","4.63","51.32","3","1","0","4","N","0.56","13.25","None","4.67","4.67","3",-1,"24","4","1","0","COC(=O)c1cc(OC)c2[nH]c3ccccc3c2c1CC=C(C)C"
"3","CHEMBL413042","0.65","122.52","8","3","0","3","N","0.55","10.52","None","0.36","0.36","0",-1,"31","8","3","0","COC[C@@H]1C(=O)[C@@]23[C@@H]([C@@H](OC(C)=O)C[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](O)[C@]3(O)OC2"
"4","CHEMBL590799","1.39","134.81","6","3","0","7","N","0.28","None","8.54","1.51","0.36","2",0,"29","9","4","0","CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1"
"5","CHEMBL2104968","3.64","108.97","4","2","0","5","N","0.49","10.80","None","3.54","3.54","3",0,"28","6","3","0","CO[P@](=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12"
"6","CHEMBL1242973","3.59","113.29","7","3","0","6","N","0.48","8.48","None","4.58","4.54","2",-1,"31","7","3","0","COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1"
"7","CHEMBL224392","3.77","7.12","2","0","0","2","N","0.65","None","3.37","0.37","0.37","3",-1,"20","2","0","0","Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C.[Cl-]"
"8","CHEMBL2048642","-4.07","195.60","12","7","2","4","N","0.22","12.12","None","-3.73","-3.73","0",-1,"29","12","7","2","COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1[C@H](O)[C@H](O)[C@@]2(C)O"
"9","CHEMBL2088267","1.39","83.83","5","2","0","0","N","0.65","10.59","None","2.25","2.25","0",-1,"25","5","2","0","C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)C=CC2=O"
"10","CHEMBL257166","5.70","140.83","6","4","2","3","N","0.20","9.48","None","5.04","5.04","3",-1,"47","10","4","2","C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)C1"
"11","CHEMBL1794053","5.12","88.24","5","3","1","2","N","0.43","6.65","4.07","5.05","4.24","3",-1,"26","5","4","1","Cl.Nc1nc(-c2ccc3c(c2)C(=Cc2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1"
"12","CHEMBL256304","0.33","316.20","13","9","3","18","N","0.07","3.96","10.18","-1.47","-1.48","1",-1,"67","21","10","3","CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C"
"13","CHEMBL388322","3.29","37.30","2","1","0","3","N","0.64","9.41","None","3.59","3.58","2",-1,"17","2","1","0","O=C(/C=C/c1cccc(O)c1)c1ccccc1"
"14","CHEMBL501040","-4.09","353.90","22","13","3","11","N","0.05","11.79","None","-2.89","-2.89","0",-1,"66","22","13","3","C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O)C3"
"15","CHEMBL1200675","6.22","12.47","2","0","1","9","N","0.31","None","8.76","6.27","4.89","3",0,"29","2","0","1","CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O"
"16","CHEMBL1234613","-3.65","321.09","18","7","3","11","N","0.08","1.86","4.92","-9.96","-11.41","3",0,"44","21","9","3","NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1"
"17","CHEMBL258405","2.87","95.71","4","2","0","3","N","0.67","8.63","None","2.17","2.15","2",0,"23","7","2","0","O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O"
"18","CHEMBL294113","1.96","46.92","3","1","0","1","Y","0.74","None","2.53","1.08","1.08","2",-1,"14","4","1","0","O=C(Nc1ccccc1)n1ccnc1"
"19","CHEMBL517123","5.59","88.61","8","2","2","6","N","0.29","None","8.25","5.70","4.79","4",-1,"39","8","2","2","CN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1"
"20","CHEMBL6597","2.58","113.19","6","0","0","3","N","0.37","None","2.87","1.67","1.56","2",-1,"24","9","0","0","CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2"
"21","CHEMBL359159","0.10","74.60","2","2","0","3","N","0.53","3.56","None","0.05","-6.25","0",-1,"9","4","2","0","C=C(CC(=O)O)C(=O)O"
"22","CHEMBL2304257","3.09","57.23","6","0","0","4","N","0.69","None","10.14","2.49","-0.19","0",-1,"28","6","0","0","CCCC[C@@]12C3CCN1[C@H]1C[C@H]2O[C@@]32O/C(=C3\OC(=O)C(C)=C3OC)[C@@H](C)[C@H]12"
"23","CHEMBL473629","3.82","88.60","7","1","0","8","N","0.47","13.97","5.56","3.61","3.61","4",-1,"30","7","2","0","COc1cc2ncn(-c3cc(OCCc4ccccc4)c(C(N)=O)s3)c2cc1OC"
"24","CHEMBL507752","3.12","100.66","8","0","0","0","N","0.22","None","None","3.54","3.54","0",-1,"35","8","0","0","CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(=O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1"
"25","CHEMBL478629","4.32","55.55","6","0","0","6","N","0.48","None","8.81","3.44","2.02","4",-1,"30","6","0","0","c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1"
"26","CHEMBL450527","4.28","17.07","1","0","0","5","N","0.53","None","None","5.63","5.63","0",-1,"19","1","0","0","CCCCCCCC#CC#CC1CC(=O)C=C(C)C1"
"27","CHEMBL512076","5.63","97.40","8","3","2","7","N","0.25","None","8.25","5.83","4.93","4",-1,"39","8","3","2","CCNC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1"
"28","CHEMBL463246","2.59","85.22","6","2","0","3","N","0.82","9.59","None","2.74","2.74","2",-1,"26","6","2","0","COc1cc([C@H]2c3cc(O)c(OC)cc3C[C@H]3C(=O)OC[C@H]23)ccc1O"
"29","CHEMBL504299","3.11","156.91","9","6","2","8","N","0.24","12.20","None","2.89","2.89","0",-1,"45","9","6","2","C[C@H](CC[C@H](O)C(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O)C[C@H]4C(C)(C)C=CC(=O)[C@@]45C[C@@]35CC[C@]12C"
"30","CHEMBL229658","0.29","294.42","10","4","0","7","N","0.25","-10.91","None","-1.58","-2.04","0",-1,"30","18","4","1","[N-]=[N+]=NC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](N=[N+]=[N-])C[C@H]2N=[N+]=[N-])[C@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O"
"31","CHEMBL1200436","3.54","46.53","3","1","0","0","N","0.70","None","None","2.95","2.95","0",0,"22","3","1","0","C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O"
"32","CHEMBL1644106","1.47","63.60","4","1","0","0","N","0.53","None","None","1.85","1.85","0",-1,"19","4","1","0","C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3CCC(=O)[C@@]3(C)[C@@H](O)[C@H]12"
"33","CHEMBL506871","1.26","83.80","3","3","0","2","N","0.74","9.73","9.25","0.21","-1.17","2",0,"18","5","4","0","C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1"
"34","CHEMBL14092","3.35","0.00","0","0","0","1","N","0.59","None","None","3.62","3.62","2",-1,"12","0","0","0","c1ccc(-c2ccccc2)cc1"
"35","CHEMBL1096882","-1.72","186.07","10","5","0","4","N","0.31","1.22","0.59","-1.97","-5.12","2",0,"24","12","6","2","Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O"
"36","CHEMBL227741","3.09","58.92","4","2","0","1","N","0.84","10.16","None","2.86","2.86","2",-1,"20","4","2","0","COc1c(C)c(O)cc2c1Oc1ccccc1C(O)C2"
"37","CHEMBL488317","0.23","312.05","18","11","3","9","N","0.08","3.41","None","1.11","-2.29","0",-1,"67","19","11","3","CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1"
"38","CHEMBL464877","0.96","66.76","4","2","0","0","N","0.39","None","None","0.50","0.50","0",-1,"19","4","2","0","C=C1C[C@H](O)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]2C(=C)[C@@H](O)C[C@@H]12"
"39","CHEMBL129371","2.70","77.76","4","3","0","3","N","0.58","7.00","None","4.28","3.70","2",-1,"19","4","3","0","O=C(/C=C/c1ccccc1)c1c(O)cc(O)cc1O"
"40","CHEMBL256997","3.24","76.22","4","1","0","3","N","0.80","3.90","None","3.92","0.68","3",0,"21","5","1","0","O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1"
"41","CHEMBL464470","-2.38","181.44","12","5","1","5","N","0.21","12.21","None","-1.64","-1.64","0",-1,"33","12","5","1","COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1C=C[C@@]21C=C([C@H](C)O)C(=O)O1"
"42","CHEMBL465042","0.72","116.09","6","4","0","5","N","0.41","1.56","10.01","-2.13","-2.14","0",-1,"27","7","4","0","C=C1C[C@H](O)[C@H]2[C@H](CN[C@H](C(=O)O)C(C)C)C(=O)O[C@@H]2[C@H]2C(=C)[C@@H](O)C[C@@H]12"
"43","CHEMBL465433","6.48","57.53","3","2","1","4","N","0.48","None","None","5.73","5.73","0",-1,"33","3","2","1","C[C@H](C/C=C/C(C)(C)O)[C@@H]1[C@@H](O)C[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C"
"44","CHEMBL327919","2.57","85.25","5","2","0","4","N","0.85","10.44","0.04","2.33","2.33","2",-1,"21","7","2","0","CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21"
"45","CHEMBL486998","-0.15","159.82","10","4","0","3","N","0.39","10.89","None","-0.22","-0.22","0",-1,"35","10","4","0","CC1=CC(=O)[C@@H](O)[C@@]2(C)[C@H]1C[C@H]1OC(=O)[C@H](OC(=O)CC(C)(C)O)[C@H]3[C@@H](C)[C@@H](O)[C@@]4(O)OC[C@@]31[C@@H]24"
"46","CHEMBL353396","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSSC[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O"
"47","CHEMBL487405","4.04","144.52","8","5","0","7","N","0.32","6.96","None","6.35","5.65","2",-1,"32","8","5","0","COc1c(C)c(O)c(C(C)=O)c(O)c1Cc1c(O)c(CC=C(C)C)c(O)c(C(C)=O)c1O"
"48","CHEMBL2023898","6.22","174.64","8","4","2","11","N","0.14","11.15","6.09","4.18","4.16","4",0,"54","14","4","3","COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C"
"49","CHEMBL1029","-1.45","84.16","5","4","0","4","N","0.46","12.90","8.49","-1.18","-2.30","0",0,"15","5","4","0","CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO"
"50","CHEMBL518953","4.53","70.14","5","1","0","5","N","0.51","13.94","4.76","4.41","4.41","4",-1,"26","5","2","0","NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br"
"51","CHEMBL465507","2.14","62.24","5","1","0","5","N","0.85","None","None","1.71","1.71","2",-1,"24","6","1","0","COc1ccc2c(c1)CN(c1ccc(OC)cc1CO)CN2C=O"
"52","CHEMBL401912","1.90","26.30","2","0","0","2","Y","0.60","None","None","1.37","1.37","1",-1,"11","2","0","0","COc1ccc(C(C)=O)cc1"
"53","CHEMBL476499","5.26","55.76","4","1","1","0","N","0.59","10.00","None","5.32","5.32","1",-1,"30","4","1","1","C[C@]12CC[C@@H]3[C@]45CCC[C@@](C)(C(=O)OC4)[C@@H]5CC[C@@]3(C)[C@@H]1Cc1cc(O)ccc1O2"
"54","CHEMBL486816","2.24","48.38","2","2","0","0","Y","0.67","9.53","7.89","1.38","0.90","2",-1,"15","3","2","0","CC1=NCCc2c1[nH]c1cc(O)ccc21.Cl"
"55","CHEMBL479167","6.97","55.76","3","1","1","13","N","0.22","4.52","None","7.14","4.35","1",-1,"30","4","1","1","CC(CCCC/C=C/CC/C=C\c1ccccc1)C[C@]1(C)C[C@](C)(CC(=O)O)OO1"
"56","CHEMBL519662","4.98","33.37","2","1","0","4","N","0.80","None","None","4.60","4.60","1",-1,"22","2","1","0","C[C@@H]1CC[C@@]2(C)C(CO)=CCC[C@@H]2[C@@]1(C)CCc1ccoc1"
"57","CHEMBL1209881","-0.72","332.28","19","12","3","10","N","0.12","4.60","None","0.26","-2.47","0",-1,"68","20","12","3","CC(C)[C@]1(O)CC[C@]2(C(=O)O[C@H]3O[C@@H](CO[C@H]4O[C@@H](CO)[C@H](O[C@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]21"
"58","CHEMBL340427","4.57","81.01","6","1","0","8","N","0.32","None","7.90","4.10","3.48","4",-1,"33","7","1","0","CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1"
"59","CHEMBL451705","2.12","80.92","6","2","0","2","N","0.71","8.91","None","2.85","2.84","3",-1,"22","6","2","0","COc1cc(O)c2c(=O)c3cccc(O)c3n(C)c2c1OC"
"60","CHEMBL28457","2.12","94.83","5","3","0","3","N","0.58","8.50","None","3.01","2.98","1",-1,"21","5","3","0","CC(C)=CC[C@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O"
"61","CHEMBL476885","2.01","50.80","4","1","0","2","N","0.90","None","11.29","1.73","-1.43","1",-1,"24","5","1","0","CC[C@H]1N[C@H]2C[C@@]3(C(=O)N(OC)c4ccccc43)[C@H]3C[C@@H]1[C@@H]2CO3"
"62","CHEMBL504880","2.37","256.72","8","8","2","18","N","0.10","-1.39","None","-2.23","-4.76","2",-1,"55","16","8","3","C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)NCCS(=O)(=O)O)c(CCC(=O)NCCS(=O)(=O)O)c2C)NC1=O"
"63","CHEMBL442813","1.87","59.67","4","1","0","1","N","0.78","None","None","1.73","1.73","2",-1,"18","4","1","0","CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1"
"64","CHEMBL1933678","-1.56","156.91","9","6","1","3","N","0.29","8.11","None","-0.98","-1.06","1",-1,"22","9","6","1","O=C(OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1"
"65","CHEMBL48880","4.18","109.42","6","3","0","6","N","0.37","10.82","7.30","2.75","2.50","4",0,"33","8","3","0","CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12"
"66","CHEMBL458865","4.22","124.43","8","4","1","8","N","0.27","13.21","8.39","5.53","4.50","4",-1,"38","10","5","1","COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2n1"
"67","CHEMBL419296","5.16","37.39","5","1","1","8","N","0.55","None","8.74","4.77","3.41","3",-1,"27","4","1","1","c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1"
"68","CHEMBL451160","3.96","15.79","0","1","0","1","N","0.60","None","None","3.83","3.83","3",-1,"15","1","1","0","C=Cc1cccc2c1[nH]c1ccccc12"
"69","CHEMBL501376","2.58","182.96","12","3","2","5","N","0.47","7.87","None","1.84","1.71","2",-1,"42","12","3","2","COC1=CC(=O)c2c(O)c(OC)c3c(c2C1=O)-c1c2c(c(O)c(OC)c1[C@@H](C(C)=O)[C@@](C)(O)C3)C(=O)C=C(OC)C2=O"
"70","CHEMBL505585","0.61","29.10","2","1","0","2","Y","0.56","None","None","0.18","0.18","0",-1,"8","2","1","0","CNC(=O)/C=C/SC"
"71","CHEMBL510411","3.93","72.45","7","0","0","4","N","0.62","13.52","None","3.31","3.31","3",-1,"29","7","0","0","COc1ccc(-c2c3c(c(OC)c4cc5c(cc24)OCO5)COC3=O)cc1OC"
"72","CHEMBL452493","4.79","57.61","3","1","0","12","N","0.24","5.27","None","4.97","2.86","0",-1,"24","4","1","0","CCC(C)CCCCCCCCCC/C(O)=C1\C(=O)CN(C)C1=O"
"73","CHEMBL489542","3.70","20.23","1","1","0","1","N","0.67","None","None","3.35","3.35","0",-1,"16","1","1","0","C=C1C2C[C@H](C(=C)C)CC[C@@]2(C)CC[C@H]1O"
"74","CHEMBL450967","3.32","156.28","12","2","2","17","N","0.14","12.25","None","4.49","4.49","0",-1,"42","12","2","2","CCCCCCCCO[C@@H]1O[C@@H](C)[C@H](OC(=O)CCCCC)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]2OC(C)=O)[C@H]1O"
"75","CHEMBL453334","3.89","162.35","13","1","2","18","N","0.13","12.36","None","4.93","4.93","0",-1,"45","13","1","2","CCCCCCCCO[C@@H]1O[C@@H](C)[C@H](OC(=O)CCCCC)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@H]1O"
"76","CHEMBL370146","6.05","99.88","7","0","1","8","N","0.12","None","None","5.15","5.15","3",-1,"36","7","0","1","CC(=O)Oc1c(C(=O)CC(C)C)c(OC(C)=O)c2c(-c3ccccc3)cc(=O)oc2c1CC=C(C)C"
"77","CHEMBL510277","0.52","277.66","18","8","3","15","N","0.06","9.03","None","3.50","3.49","3",-1,"58","18","8","3","COc1cc(/C=C/C(=O)OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](COC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@@H]3OC(=O)/C=C/c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O"
"78","CHEMBL452867","-0.18","125.55","9","4","0","5","N","0.55","12.45","3.72","-0.43","-0.43","2",0,"24","9","4","0","CC(C)=CCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"79","CHEMBL391053","6.18","25.36","3","0","1","2","N","0.56","None","9.08","4.31","2.62","2",-1,"33","3","0","1","CN(C)[C@@H]1C=CC2=CC3=CC[C@]4(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]4[C@@]34CC[C@]2(C1)O4"
"80","CHEMBL458130","-0.12","143.78","8","4","0","0","N","0.46","1.78","None","-0.14","-2.56","1",-1,"25","10","4","0","O=C1N[C@@H]2C(=C[C@H](O)[C@H]3OP(=O)([O-])O[C@@H]23)c2cc3c(c(O)c21)OCO3.[K+]"
"81","CHEMBL459607","3.11","29.46","2","1","0","0","N","0.65","12.10","None","2.77","2.77","0",-1,"17","2","1","0","CC1(C)CCC[C@@]2(C)[C@H]1CC=C1CO[C@@H](O)[C@@H]12"
"82","CHEMBL449864","4.11","136.82","8","4","1","0","N","0.20","12.40","None","4.12","4.12","0",-1,"40","8","4","1","C=C1/C=C(\C)[C@](C)(O)C[C@H](O)CC(=O)[C@@H](O)[C@@H](O)[C@H](C)C[C@H](C)OC(=O)/C(C)=C/CC/C=C/[C@@H]2O[C@H]2C[C@H](C)C1"
"83","CHEMBL454809","1.13","55.23","3","1","0","1","Y","0.69","9.66","None","1.17","1.17","2",-1,"12","4","1","0","COc1ccc2[nH]c(=O)oc2c1"
"84","CHEMBL1089316","1.33","145.76","12","4","2","3","N","0.34","13.79","2.31","2.27","2.27","2",-1,"46","12","4","2","CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3"
"85","CHEMBL448234","1.54","234.29","15","8","3","8","N","0.13","12.11","None","0.77","0.77","0",-1,"58","15","8","3","CC(=O)OC[C@H]1O[C@@H](O[C@H]2C[C@]3(C)[C@H](C[C@@H](O)[C@@H]4[C@@H]([C@]5(C)CC[C@@H](C(C)(C)O)O5)CC[C@]43C)[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]23)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O"
"86","CHEMBL248564","1.61","63.60","4","1","0","0","N","0.53","13.93","None","2.11","2.11","0",-1,"19","4","1","0","C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@]1(O)CCC(=O)[C@@]21C"
"87","CHEMBL450146","5.19","26.30","2","0","1","9","N","0.43","None","None","6.16","6.16","0",-1,"20","2","0","1","CC/C=C/[C@H](CC)CCC[C@@]1(CC)C=C(CC)C(=O)O1"
"88","CHEMBL1200641","8.07","126.44","12","0","3","24","N","0.04","None","None","-0.96","-0.96","4",0,"67","14","0","3","COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1"
"89","CHEMBL449236","None","None","None","None","None","None","None","None","None","None","None","None","None",-1,"None","None","None","None","CC(=O)OC[C@H]1O[C@@H](OC(=O)[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O"
"90","CHEMBL482405","5.61","44.76","4","0","1","11","N","0.27","None","None","6.22","6.22","0",-1,"25","4","0","1","CC/C=C/C(CC)CCC[C@@]1(CC)C[C@H](CC)[C@H](CC(=O)OC)OO1"
"91","CHEMBL1616","2.85","43.70","3","2","0","0","Y","0.72","9.26","7.72","2.88","2.58","2",0,"20","3","2","0","CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl"
"92","CHEMBL1077066","4.11","119.36","8","2","1","3","N","0.30","13.71","None","3.23","3.23","0",-1,"40","8","2","1","C=C1[C@@H]2C[C@]3(O)C=C4C=CC(=O)OC(C)(C)[C@@H]4[C@H](OC(C)=O)C[C@H]3[C@]2(C)CC[C@@]1(O)[C@@H](C)[C@H]1CC=C(C)C(=O)O1"
"93","CHEMBL454584","1.59","66.76","4","2","0","5","N","0.80","12.47","None","0.79","0.79","0",-1,"19","4","2","0","CC(=O)CC[C@@H]1[C@H]([C@H]2CC(O)OC[C@H]2C)[C@@]1(C)CO"
"94","CHEMBL2146123","-0.44","181.62","9","6","1","2","N","0.33","2.88","7.41","-3.51","-3.81","1",0,"32","10","7","1","C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl"
"95","CHEMBL3039417","4.43","106.34","7","1","0","2","N","0.49","8.35","None","3.58","3.54","1",-1,"35","7","1","0","CC(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)C[C@H]3O[C@]32[C@]2(C)C(=O)C(O)=C3C(C)(C)C(=O)C=C[C@]3(C)C12"
"96","CHEMBL1200773","1.59","55.12","2","2","0","2","Y","0.75","13.65","8.23","1.88","1.00","1",0,"14","3","3","0","Cc1cccc(C)c1NC(=O)C(C)N.Cl"
"97","CHEMBL149082","-0.78","80.39","3","2","0","3","N","0.50","-0.99","10.19","-2.55","-2.56","0",0,"8","4","3","0","NCCCS(=O)(=O)O"
"98","CHEMBL401798","2.83","30.49","3","1","0","0","Y","0.79","None","9.20","2.94","1.15","2",-1,"20","3","1","0","c1ccc2c(c1)C[C@H]1NCCc3cc4c(c-2c31)OCO4"
"99","CHEMBL1214756","4.34","113.29","7","3","1","3","N","0.36","10.14","None","3.92","3.92","0",-1,"39","7","3","1","CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3[C@H]3COC(O)(C(C)(C)O)[C@H](O)C3)[C@]12C"
"100","CHEMBL132623","5.56","74.60","4","2","1","5","N","0.50","5.84","None","6.65","5.17","1",-1,"28","4","2","1","CC(/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O"
